NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN
Primary Route,11000702,1130.5419,1247.8839,2019/01/01 00:00:00+00,,{EA8CB364-E01C-4B49-8CE9-C19BDACD8532},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152066,,0
Primary Route,11000702,2518.125,2550.9584,2019/01/01 00:00:00+00,,{F1A34B84-7A46-4292-860F-CBCACC655593},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152067,,0
Primary Route,11000702,978.8151,1130.5419,2019/01/01 00:00:00+00,,{7A58A535-0955-46A4-8D4B-7175D43AD507},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152068,,0
Primary Route,11000702,2221.9925,2386.0928,2019/01/01 00:00:00+00,,{76070051-F535-4B2D-B1A2-220196F78AB9},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152069,,0
Primary Route,11000702,0,100.8394,2019/01/01 00:00:00+00,,{AFA2F869-3E62-4148-A137-A79F735CDBEB},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152070,,0
Primary Route,11000702,1477.5323,1613.9605,2019/01/01 00:00:00+00,,{BB2529F3-AA7E-4CE4-8038-FC19DC7048E1},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152071,,0
Primary Route,11000702,1954.983,2102.7516,2019/01/01 00:00:00+00,,{9029E4B4-E57B-448C-94C9-B36AC167583A},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152072,,0
Primary Route,11000702,2102.7516,2221.9925,2019/01/01 00:00:00+00,,{DAEF54CE-5522-4178-899D-7B26220D674A},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152073,,0
Primary Route,11000702,406.9262,471.5568,2019/01/01 00:00:00+00,,{E38C3B78-06BD-4A78-99DE-C25C68BD513A},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152074,,0
Primary Route,11000702,1247.8839,1384.5633,2019/01/01 00:00:00+00,,{9B68E67E-B8A8-4299-B769-C2ACD5BE4647},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152075,,0
Primary Route,11000702,271.7869,406.9262,2019/01/01 00:00:00+00,,{8AFEC85B-61B5-4001-ABD3-C40C3277117C},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152076,,0
Primary Route,11000702,2715.2392,2879.8998,2019/01/01 00:00:00+00,,{6A641150-4953-408E-8751-9722C637D94E},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152077,,0
Primary Route,11000702,471.5568,573.4217,2019/01/01 00:00:00+00,,{B504FD57-8851-4E38-8C23-5D383CC14908},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152078,,0
Primary Route,11000702,573.4217,721.8819,2019/01/01 00:00:00+00,,{F2FF8875-8584-48EA-9A5D-B6A463F3DC0A},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152079,,0
Primary Route,11000702,1384.5633,1431.1607,2019/01/01 00:00:00+00,,{F9358FE5-16D7-46D1-80C3-40F29B1F29A8},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152080,,0
Primary Route,11000702,2879.8998,2956.5021,2019/01/01 00:00:00+00,,{DF415155-6C70-4F4A-985A-1090B022EFD0},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152081,,0
Primary Route,11000702,2550.9584,2715.2392,2019/01/01 00:00:00+00,,{94DB07F8-BB81-41F5-AEA2-8AC005EDF2F7},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152082,,0
Primary Route,11000702,721.8819,848.8585,2019/01/01 00:00:00+00,,{3A899713-1B12-41E7-9203-45F8855B0836},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152083,,0
Primary Route,11000702,1777.7727,1954.983,2019/01/01 00:00:00+00,,{79B2B287-0634-4924-A1D6-978A1D4A8571},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152084,,0
Primary Route,11000702,1431.1607,1477.5323,2019/01/01 00:00:00+00,,{5D666441-8F5D-4E60-8CC2-FF959A2D917B},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152085,,0
Primary Route,11000702,1613.9605,1777.7727,2019/01/01 00:00:00+00,,{6C0D2C27-3C14-4D39-9F30-90634161CAC7},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152086,,0
Primary Route,11000702,848.8585,978.8151,2019/01/01 00:00:00+00,,{1D71439C-1CFE-47B0-89BD-2DD13294427F},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152087,,0
Primary Route,11000902,1616.1194,1779.7012,2019/01/01 00:00:00+00,,{A889F6BC-C94C-4A16-8E04-5B6A76607F86},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152088,,0
Primary Route,11000902,1384.6342,1432.8317,2019/01/01 00:00:00+00,,{778A3182-07C3-453E-86E4-2FC2DB6358CE},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152089,,0
Primary Route,11000902,575.0391,723.4122,2019/01/01 00:00:00+00,,{8CB16676-9A0D-4118-B311-333B168D557A},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152090,,0
Primary Route,11000902,1779.7012,1957.158,2019/01/01 00:00:00+00,,{CF9E2BAC-55A2-40C3-B7CD-4CFF500DEA5B},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152091,,0
Primary Route,11000902,1432.8317,1478.0614,2019/01/01 00:00:00+00,,{0AFE3555-7DF0-4AEA-A8A9-FCFC68E2FE4D},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152092,,0
Primary Route,11000902,2387.9662,2442.3973,2019/01/01 00:00:00+00,,{825EFD48-59B9-4EC2-A89A-D6A52AEE91ED},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152093,,0
Primary Route,11000902,980.2736,1047.6442,2019/01/01 00:00:00+00,,{4FA5B323-E108-4B95-A007-E30447513C0A},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152094,,0
Primary Route,11000902,472.8558,575.0391,2019/01/01 00:00:00+00,,{FED78254-4884-4FE1-AEF4-54AFEB0A6D9B},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152095,,0
Primary Route,11000902,1131.5744,1248.9949,2019/01/01 00:00:00+00,,{3DD68D1B-10C9-40A3-B113-3AE60A9B8BB0},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152096,,0
Primary Route,11000902,2104.8058,2223.866,2019/01/01 00:00:00+00,,{D3AC0713-F914-47F8-BD77-41E654F08060},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152097,,0
Primary Route,11000902,723.4122,851.6513,2019/01/01 00:00:00+00,,{57C3836D-CF0B-44CB-8333-64DAE656F975},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152098,,0
Primary Route,11000902,851.6513,980.2736,2019/01/01 00:00:00+00,,{6265DA34-C828-4637-9BF3-640F0D2D82E4},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152099,,0
Primary Route,11000902,1047.6442,1131.5744,2019/01/01 00:00:00+00,,{87E64084-78C1-40D5-9179-34C8C7CDDC7D},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152100,,0
Primary Route,11000902,1248.9949,1384.6342,2019/01/01 00:00:00+00,,{E0BD0517-FAFC-456F-AFF9-D7646D2DA2AA},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152101,,0
